Question	I1T	I1S	I2T	I2S	I3T	I3S	I4T	I4S	I5T	I5S	I6T	I6S	I7T	I7S	I8T	I8S	M1T	M1S	M2T	M2S	M3T	M3S	M4T	M4S	M5T	M5S	M6T	M6S	M7T	M7S	M8T	M8S
Q1	13.82	15	18	13	13.95	15	8.5	20	40.12	0	13.5	15	11.33	15	14.06	15	17.24	13	12.67	15	13.87	15	8.61	20	7.78	20	7.77	20	13.83	15	11.5	0
Q2	6.54	20	11.36	15	20.63	0	8.09	0	20.5	0	7.43	20	27.24	10	9.82	15	17.1	13	22.03	10	8.34	20	6.52	20	8.53	20	4.77	0	20.96	10	21.8	10
Q3	11.66	15	3.03	0	15.3	13	10.2	0	13.39	0	10	20	43	0	13.71	0	93.53	10	59.09	10	18.13	13	29.29	10	36.85	10	22.7	0	24.55	10	24.28	10
Q4	6.11	20	12.76	15	11.02	0	19.23	0	17.91	0	6.05	20	17.28	13	41.93	0	20.67	10	31.12	10	17.36	0	7.15	20	22.81	0	10.26	0	8.16	20	34.38	10
Q5	8.3	20	14.21	15	9.34	20	21.86	10	39.51	10	6.32	20	16.51	13	13.45	10	18.74	13	17.37	13	13	15	7.36	20	7.47	20	12.44	15	23.33	10	12.8	15
Q6	9.51	20	5.32	0	31.63	10	15.88	13	9.08	0	19.6	0	36.03	10	10.67	0	39.66	10	161.8	0	40.89	0	109.15	0	102.38	10	73.25	10	21.78	0	24.05	10
Q7	4.59	20	43.6	10	17.35	0	19.66	0	29.7	10	5.85	0	4.5	20	17.71	13	13.99	15	13.28	15	21.47	10	7.91	20	6.06	20	7.54	20	13	0	18.21	13
Q8	5.6	20	25.52	10	8.24	20	16.04	13	22.98	10	4.41	0	3.7	20	9.65	20	11.11	15	13.49	15	8.03	20	6.36	20	5.94	20	4.4	20	6.06	20	9.68	20
Q9	9.41	20	12.7	13	13.83	0	12.99	15	10.17	0	26.62	0	15.86	13	23.3	10	23.48	10	116.03	10	15.06	13	32.2	10	16.44	13	7.06	20	17.29	13	23.08	10
Q10	9.75	20	13.72	15	19.86	13	12.08	0	10.67	15	5.84	0	9.76	20	8.63	20	8.92	20	13.29	15	38.76	10	8.36	20	7.13	20	4.26	20	4.7	20	26.79	10
Q11	24.33	10	13.59	0	40.64	0	11.76	15	33.33	10	19.15	13	25.97	0	14.97	15	31.04	0	38.59	0	22.38	0	8.14	20	17.19	13	13.59	15	63.1	0	31.2	10
Q12	5.29	0	26.81	10	17.4	13	25.8	10	31.89	0	22.78	10	19.81	13	12.22	15	26.38	10	18.4	13	26.95	10	5.01	20	11.18	15	4.36	20	32.6	10	40.14	10
Q13	10.48	15	14.3	15	18.55	13	20	0	28.04	0	29.83	10	15.89	13	30.56	0	41.38	10	31.17	0	35.28	10	22.07	10	14.4	15	14.44	15	16.42	0	31.27	10
Q14	21.47	10	39.97	0	31.7	10	19.92	13	20.66	0	27.4	0	27.39	10	26.78	0	109.22	10	67.32	10	16.28	13	22.03	10	17.89	13	46.96	0	18.33	13	28.56	0
Q15	14.3	15	15.92	13	46.31	0	39.95	0	70.36	0	13.28	15	95.2	10	30.56	10	56.03	10	63.77	10	20.56	10	20.01	10	38.02	10	42.74	0	21.43	10	30.42	0
